motif;real;id
6;3;14
6;1;74
6;1;462
6;1;474
6;1;30
6;2;468
6;2;206
6;1;4550
6;1;458
6;1;4564
6;1;4562
6;1;94
6;1;4546
6;1;92
6;1;904
6;1;334
6;1;4574
6;1;476
6;1;472
6;1;76
6;1;470
6;1;28
6;1;404
6;1;456
6;2;204
6;1;454
6;1;2190
6;1;460
6;1;330
6;1;4556
6;2;78
6;2;222
6;1;478
6;1;4558
6;1;4572
6;1;4566
6;1;4548
12;1;908
12;1;74
12;1;474
12;1;5002
12;1;4422
12;2;280
12;1;4994
12;1;5004
12;1;396
12;1;348
12;1;392
12;1;926
12;2;4748
12;1;5012
12;1;910
12;1;4766
12;1;5016
12;1;5006
12;1;346
12;1;2204
12;1;92
12;2;904
12;1;4764
12;1;5022
12;1;4998
12;2;328
12;1;4750
12;1;472
12;1;4692
12;2;28
12;1;858
12;2;856
12;2;456
12;2;922
12;1;924
12;1;974
12;2;4678
12;2;344
12;1;5020
12;1;454
12;1;282
12;1;4418
12;1;4694
12;1;5014
12;1;5018
12;1;408
12;2;4758
12;2;394
12;1;330
12;1;4556
12;2;906
12;1;410
12;1;5010
12;1;4424
12;2;4742
12;1;390
12;4;4740
12;1;4548
14;1;4430
14;2;908
14;1;4702
14;2;4686
14;1;462
14;1;5080
14;1;5076
14;1;414
14;2;30
14;1;5086
14;1;5058
14;1;5004
14;1;396
14;2;5064
14;1;348
14;1;926
14;1;5082
14;1;4748
14;1;5074
14;1;458
14;1;910
14;1;94
14;1;4766
14;2;862
14;2;4830
14;1;412
14;1;346
14;2;4814
14;2;350
14;1;5068
14;2;286
14;1;4764
14;1;334
14;1;476
14;1;5084
14;1;5062
14;2;4812
14;1;4750
14;1;5078
14;1;4682
14;1;470
14;1;858
14;1;406
14;2;398
14;1;924
14;1;974
14;1;4426
14;1;2206
14;1;5066
14;1;332
14;1;282
14;1;5070
14;2;90
14;2;972
14;1;460
14;2;990
14;1;478
14;1;390
14;1;4700
36;1;908
36;1;6348
36;1;2458
36;3;2184
36;1;280
36;1;5058
36;1;4994
36;1;392
36;1;2462
36;1;5074
36;2;2252
36;1;4562
36;1;6554
36;1;4546
36;1;2204
36;1;904
36;1;6558
36;1;4434
36;1;4370
36;1;4692
36;1;76
36;1;4436
36;1;456
36;1;2206
36;2;204
36;2;6552
36;1;4418
36;1;4946
36;1;2190
36;1;972
36;2;2186
36;1;408
36;1;460
36;2;2202
36;1;5010
36;1;6550
38;3;6356
38;1;6348
38;1;4440
38;1;462
38;2;6364
38;1;2458
38;1;5076
38;2;2270
38;1;5002
38;1;6620
38;2;6616
38;1;4994
38;1;6598
38;2;6342
38;1;6614
38;1;6358
38;1;6366
38;2;206
38;2;2524
38;2;2252
38;1;4564
38;1;5012
38;1;910
38;1;5016
38;1;412
38;2;2204
38;1;92
38;1;6604
38;1;476
38;1;2526
38;4;2254
38;1;4750
38;2;472
38;1;6606
38;2;856
38;1;398
38;3;2506
38;1;6618
38;1;924
38;1;974
38;1;4678
38;1;2206
38;1;344
38;1;6622
38;2;2190
38;1;2186
38;1;408
38;1;394
38;2;6350
38;2;906
38;2;2510
38;1;78
38;1;4952
38;1;6602
38;1;4742
46;2;7128
46;1;474
46;1;2458
46;1;5080
46;1;414
46;2;2270
46;1;926
46;1;6358
46;2;2462
46;1;6366
46;1;6854
46;1;2524
46;1;910
46;1;94
46;1;5006
46;1;7126
46;1;6874
46;1;7130
46;2;2526
46;1;4998
46;1;922
46;3;3038
46;1;6858
46;1;974
46;1;2206
46;1;6876
46;1;4694
46;1;2510
46;1;410
46;1;2202
46;1;6878
46;1;6862
46;1;7134
46;1;990
46;2;222
46;1;478
46;1;6870
74;1;6348
74;2;4440
74;2;4374
74;1;2458
74;1;5080
74;1;5076
74;1;4698
74;1;5002
74;1;13148
74;1;4422
74;1;5004
74;2;4438
74;2;5064
74;2;4950
74;1;4428
74;1;5082
74;1;4748
74;2;13142
74;1;4550
74;1;4564
74;1;5012
74;1;6554
74;1;5016
74;1;412
74;1;6874
74;1;5068
74;2;6604
74;1;4442
74;1;4998
74;1;4954
74;1;4444
74;1;5062
74;1;4434
74;2;4812
74;2;4370
74;1;5078
74;1;4682
74;1;4436
74;1;404
