motif	real	rand	srand	zscore
14	780	763.224	63.514	0.264
28	45	152.452	26.546	-4.048
30	26	42.420	9.520	-1.725
74	679	445.272	48.426	4.827
76	800	1608.064	52.863	-15.286
78	788	1211.924	42.880	-9.886
90	15	34.968	10.511	-1.900
92	262	346.716	29.458	-2.876
94	124	172.840	16.328	-2.991
204	595	450.648	53.496	2.698
206	679	407.604	31.321	8.665
222	133	92.368	12.767	3.183
280	337	194.984	26.592	5.340
282	4	18.800	6.849	-2.161
286	0	0.216	0.524	-0.412
328	138	92.440	18.227	2.500
330	0	19.840	11.126	-1.783
332	8	24.952	11.727	-1.446
334	0	10.604	8.228	-1.289
344	301	123.340	20.568	8.638
346	0	8.332	4.797	-1.737
348	24	26.468	11.028	-0.224
350	0	1.376	1.614	-0.853
390	16	6.388	2.792	3.442
392	318	324.856	36.264	-0.189
394	55	63.628	15.659	-0.551
396	7	27.112	7.213	-2.788
398	7	15.852	5.430	-1.630
404	2	12.388	5.315	-1.954
406	0	1.392	2.357	-0.591
408	322	434.936	32.881	-3.435
410	12	36.584	13.016	-1.889
412	14	15.144	5.271	-0.217
414	0	0.860	1.542	-0.558
454	0	1.808	2.043	-0.885
456	5	102.000	19.715	-4.920
458	0	8.388	5.878	-1.427
460	13	19.960	8.790	-0.792
462	0	3.800	3.969	-0.957
468	11	19.164	8.003	-1.020
470	5	4.140	2.932	0.293
472	111	275.188	29.325	-5.599
474	0	16.880	9.396	-1.796
476	63	41.528	13.949	1.539
478	0	3.500	3.373	-1.038
856	28	6.440	3.691	5.842
858	0	1.636	1.497	-1.093
862	2	2.028	1.822	-0.015
904	180	49.540	13.570	9.614
906	120	68.672	15.738	3.261
908	7	12.612	5.175	-1.085
910	38	27.652	8.349	1.240
922	25	19.136	7.324	0.801
924	0	2.776	2.580	-1.076
926	1	1.408	1.754	-0.233
972	0	0.924	1.575	-0.587
974	2	3.684	2.755	-0.611
990	5	2.840	2.361	0.915
2184	482	417.064	42.588	1.525
2186	515	789.068	40.329	-6.796
2190	497	272.892	27.143	8.257
2202	56	63.604	13.467	-0.565
2204	47	129.280	20.503	-4.013
2206	63	72.692	12.759	-0.760
2252	403	398.600	28.239	0.156
2254	327	293.776	29.707	1.118
2270	87	66.268	12.294	1.686
2458	41	52.156	18.646	-0.598
2462	0	2.800	4.517	-0.620
2506	0	2.116	2.426	-0.872
2510	0	10.496	8.879	-1.182
2524	102	53.888	15.162	3.173
2526	13	10.620	6.823	0.349
3038	5	2.680	2.079	1.116
4370	6	12.008	6.520	-0.922
4374	0	0.080	0.361	-0.222
4382	0	0.000	0.000	888888.000
4418	0	27.028	11.995	-2.253
4420	3	9.036	5.672	-1.064
4422	0	4.088	3.189	-1.282
4424	0	1.892	1.793	-1.055
4426	0	0.588	0.870	-0.676
4428	0	0.280	0.822	-0.340
4430	0	0.076	0.320	-0.237
4434	0	7.160	5.797	-1.235
4436	34	34.856	10.348	-0.083
4438	0	1.028	1.766	-0.582
4440	0	4.092	3.279	-1.248
4442	0	0.036	0.207	-0.174
4444	0	0.284	1.096	-0.259
4446	0	0.000	0.000	888888.000
4546	0	2.500	3.141	-0.796
4548	0	2.620	2.338	-1.121
4550	0	0.276	0.634	-0.436
4556	0	0.048	0.320	-0.150
4558	0	0.000	0.000	888888.000
4562	0	1.328	2.242	-0.592
4564	12	11.776	5.079	0.044
4566	0	0.444	0.830	-0.535
4572	0	0.116	0.558	-0.208
4574	0	0.000	0.000	888888.000
4678	0	0.556	0.811	-0.686
4682	0	0.048	0.232	-0.207
4686	0	0.128	0.410	-0.312
4692	0	3.504	3.146	-1.114
4694	0	0.260	0.700	-0.371
4698	0	0.000	0.000	888888.000
4700	0	0.040	0.216	-0.185
4702	0	0.000	0.000	888888.000
4740	0	1.844	1.720	-1.072
4742	0	5.176	3.523	-1.469
4748	0	0.756	1.061	-0.713
4750	0	1.516	1.729	-0.877
4758	0	0.680	1.061	-0.641
4764	0	0.244	0.602	-0.406
4766	0	0.068	0.282	-0.241
4812	0	0.052	0.222	-0.234
4814	0	0.004	0.063	-0.063
4830	0	0.000	0.000	888888.000
4946	0	1.684	2.573	-0.655
4950	0	1.496	1.454	-1.029
4952	0	0.184	0.489	-0.376
4954	0	0.012	0.109	-0.110
4958	0	0.000	0.000	888888.000
4994	0	26.496	12.073	-2.195
4998	0	1.168	1.278	-0.914
5002	0	2.672	2.510	-1.064
5004	0	0.208	0.535	-0.389
5006	0	0.148	0.536	-0.276
5010	0	7.004	4.963	-1.411
5012	0	0.564	0.868	-0.650
5014	0	0.172	0.464	-0.371
5016	0	2.656	2.351	-1.130
5018	0	0.392	0.845	-0.464
5020	0	0.076	0.472	-0.161
5022	0	0.000	0.000	888888.000
5058	0	1.276	1.534	-0.832
5062	0	0.060	0.238	-0.252
5064	0	0.092	0.352	-0.261
5066	0	0.000	0.000	888888.000
5068	0	0.012	0.109	-0.110
5070	0	0.000	0.000	888888.000
5074	0	0.412	0.915	-0.450
5076	0	1.228	2.032	-0.604
5078	0	0.896	1.070	-0.837
5080	0	1.608	1.531	-1.050
5082	0	0.040	0.196	-0.204
5084	0	0.100	0.383	-0.261
5086	0	0.000	0.000	888888.000
6342	0	2.116	2.552	-0.829
6348	0	4.716	3.782	-1.247
6350	0	0.968	1.467	-0.660
6356	0	19.776	9.173	-2.156
6358	0	2.732	2.626	-1.040
6364	0	8.980	5.754	-1.561
6366	0	0.716	1.278	-0.560
6550	0	0.044	0.273	-0.161
6552	32	16.076	7.029	2.265
6554	0	2.044	3.174	-0.644
6558	0	0.000	0.000	888888.000
6598	0	0.440	0.900	-0.489
6602	0	0.176	0.458	-0.384
6604	0	0.448	1.056	-0.424
6606	0	0.044	0.224	-0.196
6614	0	0.396	0.821	-0.482
6616	15	6.960	3.187	2.522
6618	0	0.536	0.998	-0.537
6620	0	0.804	1.379	-0.583
6622	0	0.000	0.000	888888.000
6854	0	0.164	0.516	-0.318
6858	0	0.272	0.572	-0.475
6862	0	0.008	0.089	-0.090
6870	0	0.128	0.439	-0.292
6874	0	0.016	0.126	-0.127
6876	0	0.024	0.178	-0.135
6878	0	0.000	0.000	888888.000
7126	0	0.588	0.724	-0.812
7128	6	2.572	2.171	1.579
7130	0	0.472	0.787	-0.600
7134	0	0.000	0.000	888888.000
13142	4	2.344	2.077	0.797
13146	0	0.036	0.187	-0.193
13148	0	0.028	0.165	-0.169
13150	0	0.000	0.000	888888.000
13260	0	0.000	0.000	888888.000
13262	0	0.008	0.089	-0.090
13278	0	0.000	0.000	888888.000
14678	0	0.052	0.222	-0.234
14686	0	0.000	0.000	888888.000
14790	0	0.000	0.000	888888.000
14798	0	0.000	0.000	888888.000
14810	0	0.232	0.493	-0.470
14812	0	0.196	0.398	-0.493
14814	0	0.000	0.000	888888.000
15258	5	2.400	1.884	1.380
15262	0	0.000	0.000	888888.000
15310	0	0.020	0.140	-0.143
15326	0	0.000	0.000	888888.000
31710	0	0.000	0.000	888888.000

