motif	real	rand	srand	zscore
14	780	762.940	63.045	0.271
28	45	150.448	23.180	-4.549
30	26	42.728	10.758	-1.555
74	679	443.188	49.643	4.750
76	800	1608.332	57.111	-14.154
78	788	1210.444	43.526	-9.706
90	15	34.964	12.231	-1.632
92	262	345.316	32.001	-2.604
94	124	173.676	18.133	-2.740
204	595	448.044	52.352	2.807
206	679	410.200	30.487	8.817
222	133	91.776	14.062	2.932
280	337	193.800	31.869	4.493
282	4	18.008	7.175	-1.952
286	0	0.220	0.577	-0.381
328	138	94.004	17.026	2.584
330	0	20.548	12.426	-1.654
332	8	25.136	12.762	-1.343
334	0	10.208	8.575	-1.190
344	301	121.304	21.012	8.552
346	0	7.996	4.306	-1.857
348	24	26.420	11.839	-0.204
350	0	1.416	1.604	-0.883
390	16	6.372	2.948	3.266
392	318	319.792	37.000	-0.048
394	55	63.056	14.456	-0.557
396	7	27.392	6.598	-3.091
398	7	15.372	5.354	-1.564
404	2	12.408	5.491	-1.895
406	0	1.348	2.397	-0.562
408	322	435.328	34.417	-3.293
410	12	36.084	12.806	-1.881
412	14	15.336	5.667	-0.236
414	0	0.828	1.515	-0.546
454	0	1.904	2.000	-0.952
456	5	103.208	19.985	-4.914
458	0	8.604	6.232	-1.381
460	13	20.256	8.848	-0.820
462	0	4.360	4.922	-0.886
468	11	18.696	7.705	-0.999
470	5	4.324	2.815	0.240
472	111	274.548	25.013	-6.539
474	0	17.508	10.814	-1.619
476	63	41.828	15.397	1.375
478	0	3.524	3.342	-1.055
856	28	6.168	3.649	5.983
858	0	1.648	1.466	-1.124
862	2	1.952	1.881	0.026
904	180	48.916	14.250	9.199
906	120	68.772	14.945	3.428
908	7	12.276	5.736	-0.920
910	38	28.144	7.527	1.309
922	25	19.040	7.416	0.804
924	0	2.292	2.389	-0.959
926	1	1.352	1.632	-0.216
972	0	0.856	1.503	-0.569
974	2	3.768	2.742	-0.645
990	5	2.972	2.463	0.823
2184	482	417.388	42.704	1.513
2186	515	787.632	40.225	-6.778
2190	497	273.848	31.573	7.068
2202	56	63.632	14.580	-0.523
2204	47	128.412	19.426	-4.191
2206	63	70.648	15.046	-0.508
2252	403	400.292	26.357	0.103
2254	327	293.852	29.058	1.141
2270	87	66.104	12.693	1.646
2458	41	53.332	19.015	-0.649
2462	0	2.584	4.324	-0.598
2506	0	1.976	2.316	-0.853
2510	0	11.264	10.356	-1.088
2524	102	53.436	14.790	3.284
2526	13	10.996	6.624	0.303
3038	5	2.604	2.018	1.187
4370	6	12.396	7.020	-0.911
4374	0	0.132	0.636	-0.208
4382	0	0.000	0.000	888888.000
4418	0	27.640	12.483	-2.214
4420	3	8.780	5.609	-1.030
4422	0	3.828	3.222	-1.188
4424	0	1.932	1.728	-1.118
4426	0	0.560	0.811	-0.691
4428	0	0.252	0.774	-0.326
4430	0	0.032	0.176	-0.181
